symbol,decision_week,decision_session,decision_close_utc,decision_close_ny,execution_session,news_latest_safe_date,news_latest_safe_age_calendar_days,news_same_day_ambiguous_count,news_missing_date_count,news_records_1d,news_records_3d,news_records_7d,news_records_14d,news_records_30d,table_latest_safe_filed_date,table_latest_safe_age_calendar_days,table_observations_with_filed_before_decision,table_same_day_filed_ambiguous_count,ts_sessions_strictly_before_decision,ts_sessions_through_decision,ts_latest_session_through_decision,ts_formal_period_missing_session_count,image_candidate_count_nominal_end_le_decision,image_latest_safe_nominal_end,image_latest_safe_filename,image_latest_safe_age_calendar_days,modality_unavailable_or_ambiguous_flags,pit_risk_flags,warmup_reference_start,final_valuation_session
AAPL,2024-05-20,2024-05-24,2024-05-24T20:00:00+00:00,2024-05-24T16:00:00-04:00,2024-05-28,2023-12-16,160,0,0,0,0,0,0,0,2024-05-03,21,100842,0,6137,6138,2024-05-24,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-05-20,2024-05-24,2024-05-24T20:00:00+00:00,2024-05-24T16:00:00-04:00,2024-05-28,2023-12-16,160,0,0,0,0,0,0,0,2024-05-01,23,67886,0,6137,6138,2024-05-24,0,48,2023-12-31,amzn_2023_H2_candlestick.png,145,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-05-20,2024-05-24,2024-05-24T20:00:00+00:00,2024-05-24T16:00:00-04:00,2024-05-28,,,0,,0,0,0,0,0,2024-05-01,23,6672,0,6137,6138,2024-05-24,0,48,2023-12-31,jpm_2023_H2_candlestick.png,145,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-05-27,2024-05-31,2024-05-31T20:00:00+00:00,2024-05-31T16:00:00-04:00,2024-06-03,2023-12-16,167,0,0,0,0,0,0,0,2024-05-03,28,100842,0,6141,6142,2024-05-31,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-05-27,2024-05-31,2024-05-31T20:00:00+00:00,2024-05-31T16:00:00-04:00,2024-06-03,2023-12-16,167,0,0,0,0,0,0,0,2024-05-01,30,67886,0,6141,6142,2024-05-31,0,48,2023-12-31,amzn_2023_H2_candlestick.png,152,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-05-27,2024-05-31,2024-05-31T20:00:00+00:00,2024-05-31T16:00:00-04:00,2024-06-03,,,0,,0,0,0,0,0,2024-05-01,30,6672,0,6141,6142,2024-05-31,0,48,2023-12-31,jpm_2023_H2_candlestick.png,152,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-06-03,2024-06-07,2024-06-07T20:00:00+00:00,2024-06-07T16:00:00-04:00,2024-06-10,2023-12-16,174,0,0,0,0,0,0,0,2024-05-03,35,100842,0,6146,6147,2024-06-07,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-06-03,2024-06-07,2024-06-07T20:00:00+00:00,2024-06-07T16:00:00-04:00,2024-06-10,2023-12-16,174,0,0,0,0,0,0,0,2024-05-01,37,67886,0,6146,6147,2024-06-07,0,48,2023-12-31,amzn_2023_H2_candlestick.png,159,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-06-03,2024-06-07,2024-06-07T20:00:00+00:00,2024-06-07T16:00:00-04:00,2024-06-10,,,0,,0,0,0,0,0,2024-05-01,37,6672,0,6146,6147,2024-06-07,0,48,2023-12-31,jpm_2023_H2_candlestick.png,159,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-06-10,2024-06-14,2024-06-14T20:00:00+00:00,2024-06-14T16:00:00-04:00,2024-06-17,2023-12-16,181,0,0,0,0,0,0,0,2024-05-03,42,100842,0,6151,6152,2024-06-14,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-06-10,2024-06-14,2024-06-14T20:00:00+00:00,2024-06-14T16:00:00-04:00,2024-06-17,2023-12-16,181,0,0,0,0,0,0,0,2024-05-01,44,67886,0,6151,6152,2024-06-14,0,48,2023-12-31,amzn_2023_H2_candlestick.png,166,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-06-10,2024-06-14,2024-06-14T20:00:00+00:00,2024-06-14T16:00:00-04:00,2024-06-17,,,0,,0,0,0,0,0,2024-05-01,44,6672,0,6151,6152,2024-06-14,0,48,2023-12-31,jpm_2023_H2_candlestick.png,166,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-06-17,2024-06-21,2024-06-21T20:00:00+00:00,2024-06-21T16:00:00-04:00,2024-06-24,2023-12-16,188,0,0,0,0,0,0,0,2024-05-03,49,100842,0,6155,6156,2024-06-21,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-06-17,2024-06-21,2024-06-21T20:00:00+00:00,2024-06-21T16:00:00-04:00,2024-06-24,2023-12-16,188,0,0,0,0,0,0,0,2024-05-01,51,67886,0,6155,6156,2024-06-21,0,48,2023-12-31,amzn_2023_H2_candlestick.png,173,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-06-17,2024-06-21,2024-06-21T20:00:00+00:00,2024-06-21T16:00:00-04:00,2024-06-24,,,0,,0,0,0,0,0,2024-05-01,51,6672,0,6155,6156,2024-06-21,0,48,2023-12-31,jpm_2023_H2_candlestick.png,173,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-06-24,2024-06-28,2024-06-28T20:00:00+00:00,2024-06-28T16:00:00-04:00,2024-07-01,2023-12-16,195,0,0,0,0,0,0,0,2024-05-03,56,100842,0,6160,6161,2024-06-28,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-06-24,2024-06-28,2024-06-28T20:00:00+00:00,2024-06-28T16:00:00-04:00,2024-07-01,2023-12-16,195,0,0,0,0,0,0,0,2024-05-01,58,67886,0,6160,6161,2024-06-28,0,48,2023-12-31,amzn_2023_H2_candlestick.png,180,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-06-24,2024-06-28,2024-06-28T20:00:00+00:00,2024-06-28T16:00:00-04:00,2024-07-01,,,0,,0,0,0,0,0,2024-05-01,58,6672,0,6160,6161,2024-06-28,0,48,2023-12-31,jpm_2023_H2_candlestick.png,180,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
